38,34,22,36,32,20,10,17,27,24,34,0,26,36,17,28,31,22,36,28,7,31,36,20,28,43,36,14,43,21,36,19,19,26,41,28,25,18,25,20,16,27,32,25,10,32,23,30,39,20,33,25,8,5,38,38,36,24,44,25,27,44,24,20,40,19,35,25,52,25,34,19,45,29,22,39,36,26,15,12,41,35,45,18,23,22,42,36,26,48,18,22,25,34,10,38,35,49,32,17,15,45,27,30,39,26,30,43,41,24,46,25
23,15,22,19,8,28,22,21,32,28,29,26,0,30,27,8,32,29,15,26,36,24,16,32,29,33,17,34,25,21,27,23,31,21,24,20,26,20,32,24,26,23,5,27,34,17,25,22,20,30,29,32,31,24,18,18,19,26,34,24,2,26,21,32,31,29,30,16,33,27,5,27,39,26,35,31,31,31,33,21,22,30,27,28,24,22,36,30,32,40,23,31,22,8,30,17,15,41,17,26,26,26,26,21,20,24,27,33,34,29,28,18
27,35,18,34,29,19,38,24,27,22,42,36,30,0,21,32,38,24,31,18,29,28,24,28,34,50,24,33,45,22,5,19,21,23,20,21,14,24,21,24,21,16,28,21,27,20,18,20,21,21,40,26,30,32,19,24,18,26,12,17,31,47,23,30,22,19,8,21,55,16,30,23,14,20,32,45,11,21,27,24,40,2,32,23,17,20,49,11,27,55,19,22,15,30,29,23,22,55,20,20,22,32,19,22,27,19,20,50,47,23,49,30
31,31,9,35,25,9,24,16,17,13,34,17,27,21,0,32,33,13,34,15,13,20,29,18,29,44,29,19,42,11,22,14,10,12,27,21,10,20,10,17,17,12,25,15,12,18,5,13,32,7,35,16,14,17,28,30,27,16,29,10,28,43,13,19,32,3,21,18,52,12,27,19,30,14,22,40,22,11,10,19,38,21,37,18,9,12,44,23,16,50,13,16,12,27,9,30,28,51,19,1,13,37,11,15,32,12,15,44,42,17,45,23
24,9,26,18,11,30,26,24,35,31,30,28,8,32,32,0,33,34,15,27,37,24,19,37,29,33,19,39,26,26,30,23,36,26,27,25,26,20,38,24,31,23,10,32,34,22,30,27,22,35,29,37,32,25,20,18,21,32,37,29,9,27,26,37,31,34,30,21,34,32,12,27,40,26,40,31,31,31,39,22,22,30,26,29,29,27,35,33,32,40,28,31,22,13,35,19,17,41,22,32,31,26,31,26,20,29,27,33,34,29,29,18
40,33,26,44,36,33,23,25,36,36,7,31,32,38,33,33,0,35,41,33,35,35,44,39,13,26,44,34,35,27,42,25,37,31,45,36,34,22,39,32,32,36,34,30,32,38,30,35,47,38,10,39,33,27,46,44,44,29,49,30,34,36,29,39,49,34,40,34,44,33,36,29,50,42,42,19,41,42,40,23,21,41,46,27,30,28,20,42,39,28,29,27,30,37,38,45,42,29,38,33,31,46,32,35,40,31,42,26,22,46,38,27
33,33,16,38,28,10,29,19,5,11,36,22,29,24,13,34,35,0,38,21,20,24,33,9,32,47,33,15,46,17,26,17,8,18,30,23,12,22,4,21,18,11,28,18,19,25,17,19,36,13,38,7,20,25,31,34,30,23,32,18,32,48,19,10,35,15,24,24,56,14,30,21,33,11,10,42,26,8,12,21,42,25,41,21,18,20,46,26,8,52,17,20,15,30,14,34,31,53,25,13,17,41,19,21,35,19,10,47,44,11,50,27
18,21,29,12,17,33,32,31,38,34,38,36,15,31,34,15,41,38,0,32,34,27,18,37,33,33,17,37,26,24,29,27,34,23,26,25,31,25,35,29,29,28,14,30,33,20,28,25,22,33,32,38,35,29,19,13,20,29,36,27,14,26,24,38,26,32,31,19,34,29,9,30,39,31,38,31,34,36,37,26,25,33,19,33,27,25,36,32,37,38,26,29,27,17,33,21,16,40,23,29,29,20,29,24,13,27,32,33,33,34,29,22
29,31,10,35,25,17,30,22,21,16,34,28,26,18,15,27,33,21,32,0,25,21,26,21,32,48,25,29,37,17,21,18,18,11,25,15,14,22,21,21,19,16,20,18,25,12,13,5,28,15,39,21,26,30,26,26,25,20,28,12,23,39,12,22,27,13,19,11,46,10,22,21,28,15,32,43,20,21,20,22,35,20,33,22,12,14,47,21,21,53,18,22,10,21,21,27,24,54,12,14,22,33,13,7,28,2,16,48,45,18,41,24
35,35,19,39,29,17,15,14,24,21,35,7,36,29,13,37,35,20,34,25,0,29,34,23,28,44,34,17,53,19,34,17,20,23,38,26,22,18,22,18,14,24,29,23,8,30,20,28,38,17,33,23,5,8,35,36,34,23,41,23,33,53,21,23,38,16,32,23,62,23,32,17,42,25,26,39,34,23,16,13,41,33,42,16,21,20,42,35,23,48,16,19,23,31,11,35,33,49,30,14,13,42,25,28,37,23,27,44,41,29,56,23
