序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location
12716,2023-07-21 14:44:15,45 km/h,150.7 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;舫山北二路616号;力之星三轮摩托(巷东路店),爱玛,厦门壮途酒业有限公司",闽DU5C37,偏东(100),"118.259077,24.666093"
12717,2023-07-21 14:44:16,51 km/h,150.7 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道巷东路514号;舫山东路,民安大道-舫山东路交叉路口;齐创公寓,翔安工业园,大鼎石锅鱼(马巷店)",闽DU5C37,偏东(84),"118.259341,24.666096"
12718,2023-07-21 14:44:33,57 km/h,151 km, ,在线 / 行驶,"福建省厦门市翔安区马巷镇;民安大道;翔嘉顺汽车服务有限公司,全诺轮胎,运纮香料",闽DU5C37,偏东(73),"118.261935,24.666577"
12719,2023-07-21 14:44:46,54 km/h,151.2 km, ,在线 / 行驶,"福建省厦门市翔安区马巷街道;G324(福昆线);磬伟涂料经营部,鑫福广物流,世卿防滑(民安大道店)",闽DU5C37,偏东(72),"118.263756,24.667129"
12720,2023-07-21 14:45:16,0 km/h,151.3 km,0秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇民安大道122号;民安大道,内田路-民安大道交叉路口;春凤家具,厦门市养真保健食品有限公司,厦门家和公寓",闽DU5C37,正北(0),"118.265608,24.667686"
12721,2023-07-21 14:45:46,0 km/h,151.3 km,30秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇民安大道122号;民安大道,内田路-民安大道交叉路口;春凤家具,厦门市养真保健食品有限公司,厦门家和公寓",闽DU5C37,正北(0),"118.265608,24.667686"
12722,2023-07-21 14:46:16,0 km/h,151.3 km,1分 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇民安大道122号;民安大道,内田路-民安大道交叉路口;春凤家具,厦门市养真保健食品有限公司,厦门家和公寓",闽DU5C37,正北(0),"118.265608,24.667686"
12723,2023-07-21 14:46:46,0 km/h,151.3 km,1分30秒 / 1分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇民安大道122号;民安大道,内田路-民安大道交叉路口;春凤家具,厦门市养真保健食品有限公司,厦门家和公寓",闽DU5C37,正北(0),"118.265608,24.667686"
12724,2023-07-21 14:47:16,46 km/h,151.6 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;G324(福昆线);厦门市公路局内厝公路站,中国邮政储蓄银行(内厝营业所),中国邮政(菜厝邮政所)",闽DU5C37,偏东(78),"118.26817,24.66824"
12725,2023-07-21 14:47:46,37 km/h,151.9 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇;X411(上塘路);农商银行,厦门市翔安区城市管理行政执法局内厝行政执法中队,翔安区豪煜烟花爆竹店",闽DU5C37,偏东(80),"118.27149,24.668907"
12726,2023-07-21 14:48:13,24 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,东北(53),"118.274389,24.669464"
12727,2023-07-21 14:48:15,22 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,东北(27),"118.274472,24.669547"
12728,2023-07-21 14:48:16,20 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;文转饭店,厦门市同安区内厝卫生院发热门诊,内厝卫生院新冠疫苗接种点",闽DU5C37,偏北(14),"118.274489,24.669596"
12729,2023-07-21 14:48:18,16 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,偏北(345),"118.27448,24.669684"
12730,2023-07-21 14:48:20,13 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,西北(315),"118.274457,24.669715"
12731,2023-07-21 14:48:22,6 km/h,152.3 km, ,在线 / 行驶,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,西北(336),"118.274401,24.669771"
12732,2023-07-21 14:48:46,0 km/h,152.3 km,0秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
12733,2023-07-21 14:49:16,0 km/h,152.3 km,30秒 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
12734,2023-07-21 14:49:46,0 km/h,152.3 km,1分 / 2分30秒,在线 / 停车 / ACC开,"福建省厦门市翔安区内厝镇上塘路300号;上塘路,上塘路-莲院路交叉路口;厦门市同安区内厝卫生院发热门诊,文转饭店,内厝卫生院新冠疫苗接种点",闽DU5C37,正北(0),"118.274368,24.669765"
