origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
2237046,5304,"118.08784,24.46672","118.086513,24.457",1853,460,1250,270
5304,12875,"118.086513,24.457","118.082275,24.452753",1499,536,1060,270
12875,620,"118.082275,24.452753","118.084423,24.454839",1562,826,1130,1775
620,1801,"118.084423,24.454839","118.083479,24.454477",123,35,110,60
1801,712239,"118.083479,24.454477","118.094665,24.463214",2650,1119,970,179
712239,700873,"118.094665,24.463214","118.098879,24.463112",731,182,570,330
700873,1029,"118.098879,24.463112","118.104369,24.464256",1128,232,900,270
1029,516,"118.104369,24.464256","118.10227,24.52382",9166,1576,16540,1200
516,2541174,"118.10227,24.52382","118.09519,24.517386",1238,358,820,180
2541174,53312,"118.09519,24.517386","118.100347,24.511421",1355,361,2460,1219
53312,82,"118.100347,24.511421","118.105134,24.526587",2863,526,4760,1080
82,292806,"118.105134,24.526587","118.098876,24.469175",10422,1353,320,91
292806,2226347,"118.098876,24.469175","118.092768,24.471456",8777,5485,240,300
2226347,12905,"118.092768,24.471456","118.159914,24.474626",8129,2086,1950,719
12905,583,"118.159914,24.474626","118.166877,24.471402",1188,247,820,270
583,721,"118.166877,24.471402","118.168178,24.472979",449,109,270,90
721,349,"118.168178,24.472979","118.171002,24.47446",796,242,1290,272
349,56820,"118.171002,24.47446","118.18082,24.510813",5859,1176,6680,1802
56820,2244270,"118.18082,24.510813","118.17316,24.504318",1691,524,1340,631
2244270,386873,"118.17316,24.504318","118.159955,24.512712",3282,785,2370,630
386873,1181133,"118.159955,24.512712","118.158819,24.513683",280,68,160,30
1181133,1235269,"118.158819,24.513683","118.16295,24.532164",2776,557,910,179
1235269,2239120,"118.16295,24.532164","118.163051,24.534681",859,156,1600,390
2239120,582,"118.163051,24.534681","118.074162,24.464243",18551,1397,50,60
582,12813,"118.074162,24.464243","118.085613,24.465089",1440,382,910,120
12813,1076327,"118.085613,24.465089","118.098308,24.466924",1504,392,2370,629
1076327,1340585,"118.098308,24.466924","118.099442,24.467097",366,127,2340,421
1340585,58391,"118.099442,24.467097","118.103488,24.467616",676,234,590,330
58391,51383,"118.103488,24.467616","118.075524,24.452385",4087,901,26080,2280
51383,31592,"118.075524,24.452385","118.088992,24.460932",2695,550,560,150
31592,53159,"118.088992,24.460932","118.113313,24.515749",10496,1236,47860,18962
53159,3709,"118.113313,24.515749","118.101804,24.504688",2471,541,2370,869
3709,12833,"118.101804,24.504688","118.101986,24.523736",3716,708,8230,780
12833,2237302,"118.101986,24.523736","118.247224,24.617976",22729,1652,110670,66863
2237302,1400,"118.247224,24.617976","118.111153,24.516533",20991,1526,18950,1800
1400,1978,"118.111153,24.516533","118.098531,24.504816",2811,597,1620,180
1978,11937,"118.098531,24.504816","118.086505,24.46895",7468,891,1130,420
11937,23990,"118.086505,24.46895","118.091367,24.466895",1190,380,950,150
23990,1316432,"118.091367,24.466895","118.090896,24.466662",76,46,40,30
1316432,12898,"118.090896,24.466662","118.088813,24.466158",743,237,220,240
12898,1943,"118.088813,24.466158","118.101444,24.469159",2153,557,770,150
1943,30557,"118.101444,24.469159","118.085223,24.460025",3680,829,770,150
30557,1035,"118.085223,24.460025","118.082634,24.451551",3083,773,1380,602
1035,1103377,"118.082634,24.451551","118.074382,24.460935",2909,815,50740,233752
1103377,1216954,"118.074382,24.460935","118.076454,24.455692",1872,687,660,150
1216954,1661,"118.076454,24.455692","118.131569,24.491625",7540,1233,5790,872
1661,1867687,"118.131569,24.491625","118.082215,24.455481",7264,1258,680,210
1867687,622,"118.082215,24.455481","118.079242,24.453981",508,163,350,61
622,12820,"118.079242,24.453981","118.103568,24.46175",3333,1204,1940,329
12820,2049,"118.103568,24.46175","118.090147,24.461701",3722,697,1470,646
2049,110,"118.090147,24.461701","118.056367,24.571737",20266,1797,8090,1836
110,31113,"118.056367,24.571737","118.078567,24.45367",19369,1660,17780,3932
31113,31754,"118.078567,24.45367","118.080106,24.454057",162,48,880,151
31754,1231,"118.080106,24.454057","118.083873,24.456877",1084,448,340,89
1231,1122639,"118.083873,24.456877","118.099853,24.58699",20678,1994,15190,10839
