序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
36565,9/22/2023 10:20,30 km/h,2106.48 km, ,在线 / 行驶,"福建省厦门市思明区梧村街道;文屏路;如是酒店大堂吧,厦门机务公寓,三多利便利店(领秀城店)",闽D0TL89,偏南(172),"118.104482,24.464714",2532,思明区文园路九号之九之十一
36599,9/22/2023 10:26,68 km/h,2111.07 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道龙山西路18号;成功大道,龙山西路-龙翔路交叉路口;大舞台,嘉莲街道,鑫裕龙家具经营部(龙翔花园店)",闽D0TL89,东北(23),"118.131502,24.491389",1661,厦门思明区吕岭路86号、88号(一层及夹层）
36600,9/22/2023 10:26,68 km/h,2111.07 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道龙山西路18号;成功大道,龙山西路-龙翔路交叉路口;大舞台,嘉莲街道,鑫裕龙家具经营部(龙翔花园店)",闽D0TL89,东北(23),"118.131502,24.491389",1661,厦门思明区吕岭路86号、88号(一层及夹层）
36628,9/22/2023 10:31,51 km/h,2116.3 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;火炬北路17号;宇电科技大厦,宇电科技大厦-东南门,Ac compact汽车工坊",闽D0TL89,西南(247),"118.116988,24.524933",11851,枋钟路2368号502室（BRT县后站往出岛方向300米）
36641,9/22/2023 10:32,38 km/h,2117.15 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;S507(石鼓山立交);冠华大厦,厦门市盈众汽车销售有限公司,怡盛工业大厦",闽D0TL89,偏北(5),"118.109706,24.524612",28011,湖里区殿前街道殿前三组3076号一层店面第1间
36642,9/22/2023 10:32,40 km/h,2117.18 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;殿前四路;福源香面馆,裸壳(殿前),中国移动通信鑫传信服务站",闽D0TL89,东北(24),"118.109792,24.524899",28011,湖里区殿前街道殿前三组3076号一层店面第1间
36676,9/22/2023 10:38,60 km/h,2122.14 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;兴湖路704号;芙蓉苑,麦德龙(湖里商场),闽南古镇G部城里办公大楼",闽D0TL89,偏西(249),"118.10603,24.521612",189,湖里区长乐路322号
36705,9/22/2023 10:42,1 km/h,2123.03 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;长浩路;优姿美容spa养生馆,洁锋汽车生活馆",闽D0TL89,西北(328),"118.101695,24.525012",44313,厦门市湖里区寨上一组1009号之二
36760,9/22/2023 10:55,73 km/h,2133.14 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;S507(杏前路);锦秀园建材,厦杏大厦,御尚雅居",闽D0TL89,偏西(268),"118.044401,24.573947",100,集美区杏北路25号
37177,9/22/2023 15:12,6 km/h,2159.57 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;嘉园路;小蜜蜂超市,中国银行atm,芙蓉苑西区11栋",闽D0TL89,偏东(83),"118.111958,24.517626",34535,湖里区湖里街道嘉园路79号之三之2、103、201、202、203、206、207、208室，81号104、204、209室
