序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
211,2023-09-01 07:07:58,42 km/h,4.07 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;枋钟路辅路;空港云立方,厦门紫金科技大楼,紫金宾馆(翔云三路店)",闽D0TL89,西南(228),"118.128105,24.531552",568.0,湖里区殿前街道翔云一路100号
346,2023-09-01 08:12:46,10 km/h,21.29 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;杏前路;三社公交站,安仁里小区,三社村交通安全劝导站",闽D0TL89,西南(233),"117.999361,24.603094",1081.0,集美灌口
347,2023-09-01 08:12:48,8 km/h,21.29 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;G319(安仁大道);兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,西南(220),"117.999341,24.603078",1081.0,集美灌口
348,2023-09-01 08:12:50,6 km/h,21.3 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;G319(安仁大道);兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,偏南(191),"117.999322,24.603047",1081.0,集美灌口
349,2023-09-01 08:12:52,7 km/h,21.3 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;G319(安仁大道);兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,东南(153),"117.99933,24.603013",1081.0,集美灌口
350,2023-09-01 08:12:54,11 km/h,21.3 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1489号;安仁大道,安仁大道辅路-三社路交叉路口;客家湖洋蒸鸡,三社路口沙县小吃,福晋牛肉馆(三社店)",闽D0TL89,东南(138),"117.999362,24.602974",1081.0,集美灌口
371,2023-09-01 08:19:03,62 km/h,27.14 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;杏前路26;锦秀园建材,御尚雅居,翔豪来家具",闽D0TL89,偏东(88),"118.043774,24.573889",100.0,集美区杏北路25号
376,2023-09-01 08:20:33,8 km/h,28.39 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;文滨路26号;华创小区,皇家公寓,书香公寓",闽D0TL89,东南(115),"118.055957,24.571897",110.0,杏林街道苑亭路15号
377,2023-09-01 08:21:02,12 km/h,28.5 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道杏滨路2-2号楼;228国道,杏锦路辅路-文滨路交叉路口;文滨公园,杏林街道铁路护路工作站,厦门市洪合顺贸易有限公司",闽D0TL89,东南(116),"118.056943,24.57148",110.0,杏林街道苑亭路15号
378,2023-09-01 08:21:32,9 km/h,28.54 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;杏滨路2号;华创小区,豪欣公寓,厦门地铁大厦",闽D0TL89,东南(115),"118.057281,24.571343",110.0,杏林街道苑亭路15号
423,2023-09-01 08:37:22,25 km/h,38.56 km, ,在线 / 行驶,"福建省厦门市湖里区禾山街道;成功大道;益民公寓,文心小学,齐创商务中心",闽D0TL89,偏南(176),"118.132012,24.518736",136.0,厦门市湖里区龙头山仓储区1号库三楼西侧
424,2023-09-01 08:37:33,30 km/h,38.64 km, ,在线 / 行驶,"福建省厦门市湖里区禾山街道枋湖西二路1号;成功大道,枋湖西二路-枋湖西三路交叉路口;红星驾校,胖子餐厅,沙县小吃(枋湖工业小区店)",闽D0TL89,偏南(178),"118.132056,24.517999",136.0,厦门市湖里区龙头山仓储区1号库三楼西侧
431,2023-09-01 08:40:34,64 km/h,40.54 km, ,在线 / 行驶,"福建省厦门市湖里区江头街道;江头立交;小米之家(江头电信店),锦丰食杂批发,福龙公寓",闽D0TL89,偏南(193),"118.132905,24.500948",2239218.0,厦门市湖里区禾山路28-1-101号
432,2023-09-01 08:41:03,33 km/h,40.99 km, ,在线 / 行驶,福建省厦门市湖里区;成功大道X405;入口,闽D0TL89,偏南(184),"118.132235,24.496949",45333.0,湖里区江头街道台湾街277号二楼
436,2023-09-01 08:42:03,16 km/h,41.27 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道吕岭路136号;成功大道,龙山西路-龙伏路交叉路口;江头地铁站2A口,乐橙学园,江头地铁站2号口",闽D0TL89,偏南(182),"118.132012,24.494414",2205564.0,厦门市湖里区台湾街9-11号国联大厦第五层5S1之B单元
437,2023-09-01 08:42:33,20 km/h,41.41 km, ,在线 / 行驶,福建省厦门市思明区;成功大道X405;韵达华闽服务站,闽D0TL89,偏南(188),"118.13188,24.49315",1367257.0,厦门市湖里区吕岭路55号之5
438,2023-09-01 08:42:42,29 km/h,41.5 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路30号;龙翔花园,流芳里,皮尔萨水管",闽D0TL89,偏南(195),"118.13171,24.492409",392897.0,湖里区江头街道江头西路22-24号
439,2023-09-01 08:43:00,27 km/h,41.63 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(206),"118.131221,24.491282",34512.0,思明区莲秀里118号
440,2023-09-01 08:43:03,27 km/h,41.64 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(205),"118.131188,24.491219",34512.0,思明区莲秀里118号
441,2023-09-01 08:43:21,17 km/h,41.78 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路10号;和光里,普利司通轮胎(龙山西路店),金致汽车维修养护中心",闽D0TL89,西南(217),"118.130503,24.490127",34512.0,思明区莲秀里118号
442,2023-09-01 08:43:33,21 km/h,41.82 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;谊爱路37号;和光里,和光里38号楼,和光里37号楼",闽D0TL89,西南(220),"118.130248,24.48984",2958.0,*吕岭路52号安保大厦
443,2023-09-01 08:43:51,21 km/h,41.93 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山路9号-4;亨龙置业,莲花天伦花园,和光里-36号",闽D0TL89,西南(229),"118.129472,24.489105",12896.0,思明区吕岭路4号之六、之七
444,2023-09-01 08:44:03,13 km/h,41.99 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;谊爱路20号;新城海世界1期,亨龙置业,亨龙企业大厦",闽D0TL89,西南(221),"118.129084,24.488758",1395638.0,厦门市思明区嘉禾路190号第一层25单元
445,2023-09-01 08:44:09,12 km/h,42.02 km, ,在线 / 行驶,福建省厦门市思明区;成功大道X405;武夷山私房菜,闽D0TL89,西南(214),"118.128903,24.488544",1395638.0,厦门市思明区嘉禾路190号第一层25单元
446,2023-09-01 08:44:33,13 km/h,42.08 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道谊爱路7号;成功大道,龙山南路-谊爱路交叉路口;厦门亨龙花园酒店,厦门市思明区龙山幼儿园,精英教育",闽D0TL89,西南(218),"118.128473,24.488081",1395638.0,厦门市思明区嘉禾路190号第一层25单元
447,2023-09-01 08:45:03,30 km/h,42.24 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;成功大道;龙山幼儿园,新城海世界1期,观远里",闽D0TL89,西南(210),"118.127618,24.486903",41513.0,厦门市思明区嘉禾路170号204单元
448,2023-09-01 08:45:33,0 km/h,42.24 km,0秒 / 0秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;成功大道;龙山幼儿园,新城海世界1期,观远里",闽D0TL89,正北(0),"118.127618,24.486903",41513.0,厦门市思明区嘉禾路170号204单元
450,2023-09-01 08:45:41,35 km/h,42.71 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,南昌铁路局厦门客技站,交警桥隧大队快速路中队执勤点",闽D0TL89,西南(232),"118.125116,24.483293",60993.0,厦门市思明区莲花南路8号四楼、五楼
