origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r,distance_ratio,duration_ratio
24324,753,"118.14193,24.49927","118.119238,24.485141",3958,603,1610,353,0.4067710965133906,0.5854063018242123
753,748,"118.119238,24.485141","118.121948,24.48481",1246,321,420,90,0.33707865168539325,0.2803738317757009
748,84,"118.121948,24.48481","118.138548,24.493017",3345,680,480,120,0.14349775784753363,0.17647058823529413
84,561,"118.138548,24.493017","118.141787,24.494837",507,191,490,120,0.9664694280078896,0.6282722513089005
561,2240108,"118.141787,24.494837","118.154553,24.512929",3429,606,3050,541,0.889472149314669,0.8927392739273927
2240108,4242,"118.154553,24.512929","118.130517,24.502283",3351,718,20080,2341,5.992241122053119,3.2604456824512535
4242,3619,"118.130517,24.502283","118.140088,24.479017",5680,1067,5340,1139,0.9401408450704225,1.0674789128397375
3619,23044,"118.140088,24.479017","118.096943,24.507184",7738,1324,2880,1412,0.3721891961747221,1.066465256797583
23044,202,"118.096943,24.507184","118.096762,24.507241",6,2,20,30,3.3333333333333335,15.0
202,2242344,"118.096762,24.507241","118.092493,24.509601",828,293,300,150,0.36231884057971014,0.5119453924914675
2242344,22162,"118.092493,24.509601","118.083447,24.494914",2735,506,5450,990,1.9926873857404022,1.9565217391304348
2225701,654142,"118.271569,24.66968","118.244576,24.661913",4695,815,36570,9664,7.789137380191693,11.857668711656443
654142,3154068,"118.244576,24.661913","117.99989,24.60274",35007,1878,1210,2256,0.03456451566829491,1.2012779552715656
3154068,2207194,"117.99989,24.60274","118.094304,24.464395",27866,1969,2990,840,0.1072992176846336,0.4266124936515998
2207194,28670,"118.094304,24.464395","118.095372,24.467691",887,264,680,90,0.7666290868094702,0.3409090909090909
28670,58090,"118.095372,24.467691","118.094021,24.467701",345,143,150,60,0.43478260869565216,0.4195804195804196
58090,30732,"118.094021,24.467701","118.090203,24.469953",1201,386,640,150,0.5328892589508742,0.38860103626943004
30732,396561,"118.090203,24.469953","118.087868,24.469388",331,72,1090,627,3.293051359516616,8.708333333333334
396561,566,"118.087868,24.469388","118.078302,24.465714",1322,252,190,90,0.1437216338880484,0.35714285714285715
566,23363,"118.078302,24.465714","118.14087,24.492075",13051,1143,4230,1247,0.32411309478200906,1.0909886264216972
23363,2483,"118.14087,24.492075","118.131278,24.523629",4091,444,2350,720,0.5744316792960157,1.6216216216216217
2483,20576,"118.131278,24.523629","118.145365,24.514049",3846,619,4720,1593,1.2272490899635986,2.5735056542810986
14219,12854,"118.224097,24.660921","118.092163,24.479776",31169,1926,26120,2761,0.8380121274343098,1.433541017653167
12854,1987,"118.092163,24.479776","118.095249,24.474735",2807,475,1220,1651,0.4346277164232277,3.4757894736842103
1987,2207858,"118.095249,24.474735","118.097583,24.471837",1322,353,400,90,0.30257186081694404,0.254957507082153
2207858,1951,"118.097583,24.471837","118.076164,24.458875",5413,1429,1100,301,0.2032144836504711,0.2106368089573128
1951,49937,"118.076164,24.458875","118.074076,24.465147",2983,826,770,240,0.2581293999329534,0.29055690072639223
49937,12810,"118.074076,24.465147","118.127179,24.502152",9677,1477,21260,3015,2.1969618683476284,2.041299932295193
12810,366,"118.127179,24.502152","118.127506,24.490292",2083,512,1740,270,0.8353336533845416,0.52734375
366,2206036,"118.127506,24.490292","118.143558,24.500463",3545,901,560,270,0.15796897038081806,0.29966703662597116
2206036,568,"118.143558,24.500463","118.126822,24.530129",5475,734,19870,1682,3.6292237442922373,2.2915531335149866
568,1754561,"118.126822,24.530129","118.144474,24.50169",5450,1003,2740,780,0.5027522935779817,0.7776669990029911
1754561,2238807,"118.144474,24.50169","118.141039,24.504156",679,193,980,299,1.443298969072165,1.549222797927461
2238807,2059323,"118.141039,24.504156","118.138781,24.501903",910,254,700,210,0.7692307692307693,0.8267716535433071
2059323,207157,"118.138781,24.501903","118.093216,24.470299",8782,1078,290,90,0.033022090639945344,0.08348794063079777
207157,441,"118.093216,24.470299","118.092406,24.470669",204,69,130,90,0.6372549019607843,1.3043478260869565
1235426,2264590,"118.133312,24.526258","118.152197,24.504403",5661,980,2180,510,0.38509097332626746,0.5204081632653061
2264590,31075,"118.152197,24.504403","118.126842,24.496912",4946,840,830,240,0.1678123736352608,0.2857142857142857
31075,197,"118.126842,24.496912","118.129251,24.496556",821,187,260,120,0.3166869671132765,0.6417112299465241
197,822956,"118.129251,24.496556","118.118792,24.486694",2031,467,2190,510,1.0782865583456425,1.0920770877944326
822956,20738,"118.118792,24.486694","118.087676,24.492407",3773,555,20950,1801,5.552610654651471,3.245045045045045
20738,684833,"118.087676,24.492407","118.088437,24.490496",990,222,230,90,0.23232323232323232,0.40540540540540543
684833,197741,"118.088437,24.490496","118.094851,24.468669",4497,976,1610,570,0.35801645541472094,0.5840163934426229
197741,2242215,"118.094851,24.468669","118.094685,24.469211",152,54,60,60,0.39473684210526316,1.1111111111111112
