序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
993,2023-09-01 10:21:00,0 km/h,58.72 km,0秒 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
994,2023-09-01 10:21:30,0 km/h,58.72 km,30秒 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
995,2023-09-01 10:22:00,0 km/h,58.72 km,1分 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
1016,2023-09-01 10:27:30,65 km/h,60.48 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;金山西路;金山西里87栋,金山西里95栋,厦门c晨曦民宿",闽D0TL89,偏西(250),"118.157357,24.502407",64.0,湖里区金山街道金山西里77号
1069,2023-09-01 10:43:02,68 km/h,76.1 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;杏前路26;锦秀园建材,厦杏大厦,御尚雅居",闽D0TL89,偏西(269),"118.044198,24.573944",100.0,集美区杏北路25号
1370,2023-09-01 14:50:28,15 km/h,98.14 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号57;殿前三路,殿前四路-殿前三路交叉路口;溢香木桶饭(殿前店),欢鹿电竞(盈合店),味莱餐厅(殿前店)",闽D0TL89,偏南(179),"118.109229,24.530452",42073.0,湖里区殿前1110号
1371,2023-09-01 14:50:42,9 km/h,98.19 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号60;殿前三路,殿前四路-殿前三路交叉路口;来点卤味,欢鹿电竞(盈合店),农家菜馆(殿前店)",闽D0TL89,偏南(195),"118.109224,24.529955",42073.0,湖里区殿前1110号
1372,2023-09-01 14:50:46,8 km/h,98.2 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号60;殿前三路,殿前四路-殿前三路交叉路口;小皮鸭,摇摇吧(殿前总店),江西铅山紫溪米粉",闽D0TL89,偏南(170),"118.109219,24.529888",42073.0,湖里区殿前1110号
1373,2023-09-01 14:50:48,4 km/h,98.21 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号60;殿前三路,殿前四路-殿前三路交叉路口;小皮鸭,摇摇吧(殿前总店),江西铅山紫溪米粉",闽D0TL89,偏南(185),"118.109233,24.529848",42073.0,湖里区殿前1110号
1374,2023-09-01 14:50:50,6 km/h,98.21 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号60;殿前三路,殿前四路-殿前三路交叉路口;小皮鸭,摇摇吧(殿前总店),江西铅山紫溪米粉",闽D0TL89,偏南(162),"118.10924,24.52982",42073.0,湖里区殿前1110号
1375,2023-09-01 14:50:53,5 km/h,98.21 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道殿前三路331号60;殿前三路,殿前四路-殿前三路交叉路口;小皮鸭,摇摇吧(殿前总店),江西铅山紫溪米粉",闽D0TL89,东南(154),"118.109249,24.529804",42073.0,湖里区殿前1110号
