distance,duration,origin,destination
22859,1358,0,151
23579,1470,0,155
24327,1579,0,158
27218,1537,0,160
24993,1622,0,157
21694,1321,0,159
24901,1580,0,165
22901,1438,0,163
22586,1326,0,164
23659,1570,0,161
24582,1541,0,166
22982,1372,0,167
21461,1455,0,162
24997,1599,0,170
23497,1580,0,169
24657,1647,0,172
24303,1490,0,168
23304,1555,0,174
27390,1615,0,171
24892,1564,0,178
24260,1650,0,177
27223,1528,0,179
19863,1395,0,173
24823,1548,0,180
28264,1668,0,181
23936,1554,0,184
23270,1407,0,175
24643,1562,0,182
24578,1544,0,176
24225,1509,0,183
24696,1571,0,186
24371,1764,0,191
24937,1632,0,188
22170,1561,0,189
24703,1664,0,192
24711,1678,0,190
25764,1689,0,185
24790,1683,0,187
27766,1599,0,193
25118,1768,0,197
24817,1556,0,198
25699,1656,0,194
22980,1511,0,195
23802,1404,0,199
24512,1509,0,200
23635,1488,0,201
24089,1515,0,196
23604,1577,0,204
24985,1648,0,202
23760,1517,0,206
23398,1402,0,207
22627,1310,0,208
24536,1555,0,209
23330,1433,0,203
24787,1626,0,205
21579,1352,0,211
24017,1541,0,212
21643,1372,0,214
23939,1601,0,213
24496,1703,0,216
24697,1551,0,217
22797,1504,0,215
25292,1596,0,218
25949,1724,0,219
25297,1605,0,221
25729,1679,0,224
23244,1397,0,222
24143,1554,0,223
23409,1410,0,210
25677,1628,0,226
25139,1593,0,227
24483,1579,0,225
21509,1406,0,231
23900,1617,0,228
24650,1593,0,230
22447,1418,0,233
21774,1354,0,220
23228,1411,0,229
21615,1414,0,234
24606,1747,0,236
24967,1682,0,235
25189,1599,0,232
23155,1630,0,239
25991,1733,0,240
23580,1532,0,237
25189,1669,0,243
23640,1506,0,242
23915,1530,0,241
22092,1421,0,244
24421,1524,0,245
24498,1525,0,238
23005,1481,0,246
24873,1715,0,248
24899,1716,0,250
22298,1500,0,249
23967,1559,0,247
24564,1610,0,251
24404,1617,0,252
27543,1591,0,253
24718,1567,0,254
21862,1461,0,255
24341,1533,0,256
25149,1678,0,259
24746,1592,0,261
22986,1531,0,262
24563,1734,0,263
23573,1421,0,257
24434,1673,0,265
24448,1603,0,266
22940,1451,0,260
24674,1699,0,267
25185,1634,0,268
22568,1294,0,258
22722,1450,0,269
22878,1540,0,270
25383,1688,0,272
24599,1613,0,271
27279,1610,0,264
24479,1578,0,275
22844,1356,0,276
23396,1468,0,273
24101,1527,0,277
25272,1656,0,279
24271,1740,0,278
23633,1486,0,282
22774,1504,0,280
24776,1668,0,281
25185,1795,0,283
22077,1419,0,274
23974,1548,0,284
24623,1753,0,285
22442,1387,0,291
22308,1379,0,289
23837,1484,0,287
23661,1379,0,290
24745,1765,0,288
23536,1705,0,292
23267,1510,0,293
24799,1685,0,286
24104,1564,0,298
24968,1671,0,297
24007,1427,0,296
25533,1651,0,295
25574,1648,0,294
22660,1372,0,301
22309,1489,0,299
26757,1465,0,303
21408,1484,0,304
24573,1560,0,306
24778,1585,0,302
24200,1565,0,305
24653,1579,0,308
21109,1611,0,307
27501,1672,0,300
24751,1608,0,313
24455,1679,0,312
25030,1600,0,309
24715,1603,0,310
21873,1337,0,315
24450,1698,0,316
24271,1740,0,314
23932,1672,0,311
24107,1668,0,318
22013,1440,0,320
24338,1532,0,317
25095,1788,0,319
22519,1427,0,322
25231,1652,0,321
24646,1579,0,323
23672,1534,0,326
7093,946,0,325
24649,1605,0,324
23245,1418,0,327
21858,1331,0,330
27993,1707,0,329
24460,1680,0,331
24424,1605,0,334
22728,1460,0,333
22642,1392,0,336
24679,1561,0,337
24664,1601,0,338
23876,1406,0,332
19414,1298,0,340
25126,1664,0,339
22579,1332,0,335
22449,1404,0,328
21512,1468,0,341
23668,1502,0,342
25371,1702,0,343
24523,1552,0,346
25454,1764,0,347
19197,1336,0,348
25720,1633,0,350
24091,1480,0,351
25321,1710,0,352
26678,1733,0,345
23409,1357,0,344
24116,1556,0,354
24288,1518,0,355
24794,1546,0,349
25444,1617,0,356
22955,1355,0,360
22845,1355,0,357
23454,1694,0,359
23759,1472,0,358
27916,1720,0,353
24272,1525,0,361
24678,1535,0,362
24337,1589,0,363
24974,1593,0,365
24873,1637,0,366
22520,1457,0,367
24964,1608,0,364
22563,1472,0,368
25353,1639,0,369
24703,1599,0,371
25132,1656,0,372
24998,1584,0,375
25272,1646,0,374
23203,1508,0,373
24566,1699,0,377
25125,1664,0,370
31568,1857,0,381
25673,1624,0,380
28004,1855,0,379
26188,1673,0,383
26703,1730,0,378
24578,1507,0,386
28636,1964,0,385
27315,1771,0,382
25562,1794,0,387
27274,1593,0,376
28141,1904,0,388
28004,1937,0,384
21460,1512,0,394
26538,1556,0,393
27552,1801,0,391
25182,1580,0,395
24163,1360,0,389
22093,1363,0,390
29980,1816,0,398
30504,1738,0,397
22200,1781,0,392
26443,1487,0,400
27567,1810,0,396
26393,1485,0,401
26578,1533,0,404
29425,1703,0,405
27386,1803,0,403
30491,1769,0,402
27347,1697,0,399
25753,1679,0,407
27975,1890,0,408
27574,1811,0,410
26931,1742,0,411
27969,1932,0,409
24565,1481,0,406
24540,1483,0,418
25535,1784,0,416
24390,1487,0,413
27035,1791,0,412
25324,1792,0,417
27054,1717,0,419
27260,1747,0,414
28095,1828,0,415
31421,1876,0,421
27941,1877,0,422
26006,1811,0,423
23971,1795,0,424
31713,1877,0,420
24542,1506,0,425
23692,1497,0,426
25928,1618,0,427
28806,1933,0,431
25385,1791,0,430
28057,1849,0,428
25182,1653,0,429
27577,1906,0,432
29601,1768,0,433
29316,1661,0,435
24068,1664,0,436
24875,1742,0,439
28213,1910,0,440
27461,1641,0,437
28074,1888,0,441
26667,1692,0,442
25614,1599,0,443
25833,1916,0,444
25029,1806,0,445
30764,1740,0,438
25490,1619,0,446
33702,1988,0,447
28691,1887,0,434
31505,1942,0,449
30520,1760,0,451
27390,1811,0,452
22868,1410,0,455
25213,1639,0,454
25887,1802,0,453
28471,1872,0,448
22077,1418,0,456
22756,1405,0,458
24527,1493,0,450
22253,1347,0,459
26957,1752,0,461
31376,1874,0,460
24750,1703,0,462
22721,1437,0,464
25487,1501,0,465
22914,1498,0,463
28395,1912,0,457
25449,1838,0,468
28533,1896,0,466
27655,1825,0,467
26062,1750,0,469
23210,1566,0,472
25930,1923,0,471
25227,1588,0,473
26051,2000,0,470
24458,1762,0,475
20405,1568,0,476
24274,1530,0,474
29435,1793,0,477
20650,1629,0,478
26224,1803,0,480
26706,1852,0,479
31506,1897,0,481
30696,2065,0,482
27021,1694,0,483
25436,1602,0,484
28829,1912,0,485
19640,1337,0,486
18258,1223,0,488
24659,1675,0,487
24977,1823,0,489
26303,1674,0,492
27968,1845,0,491
25040,1647,0,490
23514,1522,0,493
26729,1764,0,494
24719,1691,0,495
25153,1710,0,497
22162,1575,0,498
25143,1584,0,500
28030,1767,0,501
26165,1586,0,503
25330,1641,0,504
27516,1804,0,502
26502,1522,0,496
26209,1839,0,506
22172,1578,0,499
29349,2175,0,505
26210,1839,0,508
22038,1356,0,510
24816,1527,0,509
26498,1710,0,511
25279,1615,0,514
21774,1481,0,512
24969,1796,0,513
25243,1684,0,507
23390,1438,0,518
22196,1603,0,515
25918,1603,0,516
24224,1796,0,517
24554,1489,0,521
26704,1690,0,519
25460,1827,0,520
24950,1781,0,522
21788,1600,0,524
26188,1605,0,525
25288,1581,0,523
25698,1720,0,527
23240,1457,0,528
26830,1760,0,530
22558,1652,0,533
25282,1671,0,531
22758,1634,0,526
27688,1642,0,532
27150,1795,0,534
24716,1690,0,529
25246,1635,0,535
27724,1646,0,536
24120,1511,0,538
29929,1774,0,539
29740,1800,0,540
25274,1584,0,543
25490,1778,0,541
26687,1729,0,542
21026,1564,0,544
24670,1682,0,545
27854,1640,0,547
25389,1553,0,537
25524,1795,0,546
24716,1439,0,548
25638,1808,0,549
27808,1851,0,550
27941,1791,0,551
22284,1380,0,552
28702,1911,0,554
26689,1785,0,553
27047,1595,0,558
26652,1617,0,556
20405,1376,0,557
24715,1690,0,562
27560,1735,0,561
25625,1793,0,555
33348,1886,0,560
22824,1382,0,565
29150,1956,0,563
29748,1706,0,564
28849,1916,0,559
27472,1675,0,567
22720,1682,0,568
21056,1574,0,569
28188,1966,0,566
24713,1690,0,572
22489,1675,0,573
24644,1533,0,577
22558,1714,0,575
26652,1660,0,576
24721,1673,0,571
22013,1703,0,578
22764,1664,0,570
26468,1477,0,582
24061,1798,0,581
24924,1552,0,574
25832,1533,0,580
24005,1800,0,583
20627,1398,0,584
25225,1707,0,585
25751,1573,0,579
27122,1634,0,587
23995,1815,0,588
26547,1740,0,586
27067,1596,0,591
30413,1862,0,590
296,86,0,592
24822,1414,0,593
18635,1306,0,596
25506,1807,0,589
22450,1410,0,594
24797,1653,0,595
23177,1511,0,598
33395,1895,0,597
25962,1882,0,599
27068,1596,0,600
24155,1540,0,601
33292,1889,0,604
21493,1544,0,603
22793,1721,0,606
22631,1597,0,605
25169,1620,0,607
26530,1661,0,608
22479,1599,0,609
22655,1701,0,611
25671,1803,0,602
31625,1960,0,610
29635,1778,0,613
23905,1784,0,612
22271,1561,0,614
27101,1624,0,615
24994,1774,0,618
23135,1621,0,617
26916,1730,0,620
27863,1690,0,622
18112,1217,0,623
28474,1855,0,624
25245,1550,0,619
22621,1739,0,616
27511,1784,0,626
25093,1542,0,621
22265,1600,0,627
27191,1665,0,628
24728,1648,0,629
29990,1706,0,630
27250,1613,0,631
29422,1688,0,625
25220,1607,0,633
28193,1724,0,632
21483,1515,0,635
26931,1689,0,637
25041,1620,0,638
26422,1679,0,636
22326,1610,0,639
26466,1568,0,641
28903,1685,0,640
22017,1616,0,634
24803,1660,0,642
21495,1535,0,644
26511,1578,0,645
25532,1843,0,647
30647,1809,0,648
28461,1994,0,649
25561,1811,0,650
30449,1726,0,646
22728,1699,0,643
25173,1770,0,652
22088,1617,0,653
30363,1844,0,654
28819,1892,0,655
28117,1909,0,656
25964,1813,0,651
27870,1888,0,659
22106,1635,0,661
23641,1554,0,660
23463,1459,0,662
16719,1139,0,663
22216,1632,0,657
27379,1780,0,665
24666,1664,0,664
23734,1421,0,666
22594,1610,0,667
24761,1548,0,668
26344,1619,0,658
22579,1673,0,670
25124,1533,0,672
28227,1838,0,671
24594,1684,0,673
22727,1629,0,674
23921,1656,0,679
25260,1620,0,676
23771,1493,0,681
25082,1495,0,680
29380,1996,0,675
27819,1831,0,669
26240,1616,0,682
29264,1726,0,677
27709,1826,0,683
25550,1814,0,678
24850,1763,0,684
25242,1621,0,687
28653,1862,0,690
25307,1382,0,689
28501,1846,0,691
21891,1609,0,685
26733,1684,0,692
25287,1744,0,686
27038,1745,0,693
27889,1711,0,696
28206,1780,0,698
25495,1771,0,699
31509,1878,0,700
24699,1543,0,694
20809,1470,0,688
31532,1880,0,701
25275,1557,0,695
25776,1566,0,697
22016,1605,0,702
27161,1591,0,703
28436,1769,0,704
28744,1924,0,707
24677,1505,0,708
24773,1509,0,706
26493,1693,0,709
31440,1877,0,712
22771,1740,0,713
22357,1590,0,715
27095,1632,0,705
25440,1574,0,714
25459,1676,0,716
25324,1725,0,711
22606,1642,0,717
22231,1339,0,718
24306,1508,0,721
28045,1783,0,719
22444,1592,0,720
21861,1548,0,722
29726,1788,0,710
27277,1736,0,723
27968,1898,0,724
28007,1814,0,725
26244,1452,0,727
22213,1670,0,726
22265,1599,0,729
21539,1538,0,730
21486,1481,0,731
23266,1415,0,732
19877,1509,0,734
31404,1856,0,735
27020,1594,0,733
20306,1530,0,728
31670,1936,0,737
26979,1705,0,736
28623,1914,0,738
25720,1812,0,739
22813,1683,0,742
22650,1686,0,741
28420,1948,0,740
22466,1298,0,743
29545,1664,0,745
24841,1754,0,744
31504,1857,0,747
24427,1545,0,750
21765,1532,0,748
24347,1712,0,751
24339,1492,0,749
25618,1723,0,752
28868,2059,0,746
25265,1560,0,755
24610,1590,0,756
21630,1396,0,757
22038,1310,0,758
24499,1513,0,753
23168,1385,0,759
25251,1672,0,760
24462,1535,0,754
24614,1512,0,763
24401,1734,0,761
21715,1397,0,762
21275,1252,0,766
26277,1695,0,765
24311,1480,0,767
22152,1355,0,768
24100,1463,0,769
25707,1621,0,764
24613,1692,0,771
21847,1392,0,770
22279,1493,0,773
21682,1409,0,772
24211,1487,0,774
22250,1380,0,778
24135,1453,0,779
26014,1773,0,777
27245,1746,0,776
22053,1467,0,780
24729,1528,0,781
25840,1617,0,782
24642,1616,0,775
24459,1483,0,783
24636,1703,0,784
24464,1529,0,786
