TransID,Xiamen.经度,Xiamen.纬度,combine
12860,118.080463,24.45698,"118.080463,24.456980"
12861,118.040179,24.491504,"118.040179,24.491504"
12957,117.9901,24.605735,"117.990100,24.605735"
12993,118.13699,24.523112,"118.136990,24.523112"
13119,118.111873,24.506006,"118.111873,24.506006"
13417,118.103809,24.503695,"118.103809,24.503695"
13555,118.042873,24.496642,"118.042873,24.496642"
13556,117.939137,24.561849,"117.939137,24.561849"
14034,117.994842,24.618075,"117.994842,24.618075"
14196,118.113753,24.47014,"118.113753,24.470140"
14254,118.171506,24.505595,"118.171506,24.505595"
14316,118.032474,24.558743,"118.032474,24.558743"
14317,118.039701,24.495931,"118.039701,24.495931"
12886,118.096457,24.47175,"118.096457,24.471750"
13276,117.99634,24.518028,"117.996340,24.518028"
13434,118.038991,24.490703,"118.038991,24.490703"
14410,118.140791,24.647335,"118.140791,24.647335"
12864,118.146459,24.738678,"118.146459,24.738678"
12865,118.048068,24.488849,"118.048068,24.488849"
12895,118.086414,24.477404,"118.086414,24.477404"
12896,118.129521,24.489122,"118.129521,24.489122"
12897,118.161254,24.477503,"118.161254,24.477503"
12837,118.054369,24.565427,"118.054369,24.565427"
13154,118.114026,24.518547,"118.114026,24.518547"
13278,118.085136,24.446281,"118.085136,24.446281"
13394,118.187539,24.623953,"118.187539,24.623953"
13575,118.149397,24.654802,"118.149397,24.654802"
12692,118.049228,24.491543,"118.049228,24.491543"
12793,118.049228,24.491543,"118.049228,24.491543"
13056,118.040836,24.569057,"118.040836,24.569057"
13116,118.085136,24.446281,"118.085136,24.446281"
13515,118.033295,24.55429,"118.033295,24.554290"
12813,118.085138,24.465322,"118.085138,24.465322"
12833,118.102711,24.523599,"118.102711,24.523599"
12853,118.109363,24.480381,"118.109363,24.480381"
12834,118.087739,24.452627,"118.087739,24.452627"
12836,118.147506,24.727468,"118.147506,24.727468"
12887,118.03239,24.493505,"118.032390,24.493505"
12954,118.13066,24.503,"118.130660,24.503000"
13033,118.245828,24.648139,"118.245828,24.648139"
13034,118.145444,24.528194,"118.145444,24.528194"
13096,118.096288,24.464565,"118.096288,24.464565"
13120,118.124511,24.505014,"118.124511,24.505014"
19437,118.09139,24.435486,"118.091390,24.435486"
22565,117.907493,24.505765,"117.907493,24.505765"
24197,118.02879,24.641237,"118.028790,24.641237"
25611,118.160057,24.486403,"118.160057,24.486403"
18836,118.080463,24.45698,"118.080463,24.456980"
18837,118.136134,24.522914,"118.136134,24.522914"
19157,118.088568,24.437521,"118.088568,24.437521"
19236,118.10148,24.50435,"118.101480,24.504350"
19256,118.111873,24.506006,"118.111873,24.506006"
19318,118.189674,24.516663,"118.189674,24.516663"
19319,118.189674,24.516663,"118.189674,24.516663"
19438,118.062219,24.562461,"118.062219,24.562461"
19439,118.132041,24.490545,"118.132041,24.490545"
19516,118.2483,24.65961,"118.248300,24.659610"
19536,118.2483,24.65961,"118.248300,24.659610"
19519,118.178287,24.504828,"118.178287,24.504828"
19520,118.122258,24.487863,"118.122258,24.487863"
19616,118.2483,24.65961,"118.248300,24.659610"
19680,118.128637,24.471948,"118.128637,24.471948"
19681,118.128637,24.471948,"118.128637,24.471948"
19682,118.128637,24.471948,"118.128637,24.471948"
19540,118.128637,24.471948,"118.128637,24.471948"
19541,118.128637,24.471948,"118.128637,24.471948"
19542,118.128637,24.471948,"118.128637,24.471948"
19543,118.128637,24.471948,"118.128637,24.471948"
19757,118.134405,24.505654,"118.134405,24.505654"
19797,118.2483,24.65961,"118.248300,24.659610"
20157,118.257768,24.67249,"118.257768,24.672490"
20176,118.103757,24.584482,"118.103757,24.584482"
12883,118.116472,24.482788,"118.116472,24.482788"
4585,118.262323,24.662801,"118.262323,24.662801"
4586,118.262323,24.662801,"118.262323,24.662801"
4664,117.998593,24.619698,"117.998593,24.619698"
4845,118.189769,24.514986,"118.189769,24.514986"
5163,118.093888,24.438066,"118.093888,24.438066"
5164,118.093888,24.438066,"118.093888,24.438066"
5227,118.168343,24.5108,"118.168343,24.510800"
5228,118.168343,24.5108,"118.168343,24.510800"
5245,118.095697,24.458966,"118.095697,24.458966"
5246,118.084113,24.455805,"118.084113,24.455805"
5263,118.136655,24.482668,"118.136655,24.482668"
5264,118.144087,24.483513,"118.144087,24.483513"
5283,118.117276,24.434868,"118.117276,24.434868"
5923,118.17923,24.463326,"118.179230,24.463326"
5924,118.17923,24.463326,"118.179230,24.463326"
5943,118.104485,24.464662,"118.104485,24.464662"
5944,118.104485,24.464662,"118.104485,24.464662"
5945,118.02685,24.588791,"118.026850,24.588791"
5946,118.02685,24.588791,"118.026850,24.588791"
5947,118.043648,24.572364,"118.043648,24.572364"
5948,118.043648,24.572364,"118.043648,24.572364"
5925,118.134346,24.496763,"118.134346,24.496763"
5926,118.134346,24.496763,"118.134346,24.496763"
6714,118.082658,24.445567,"118.082658,24.445567"
6715,118.082658,24.445567,"118.082658,24.445567"
6768,118.254256,24.650166,"118.254256,24.650166"
6769,118.254256,24.650166,"118.254256,24.650166"
6770,118.254256,24.650166,"118.254256,24.650166"
6771,118.254256,24.650166,"118.254256,24.650166"
6772,118.254256,24.650166,"118.254256,24.650166"
6778,118.254256,24.650166,"118.254256,24.650166"
6779,118.254256,24.650166,"118.254256,24.650166"
6780,118.254256,24.650166,"118.254256,24.650166"
6781,118.254256,24.650166,"118.254256,24.650166"
6782,118.254256,24.650166,"118.254256,24.650166"
6783,118.254256,24.650166,"118.254256,24.650166"
6784,118.254256,24.650166,"118.254256,24.650166"
6785,118.254256,24.650166,"118.254256,24.650166"
6786,118.254256,24.650166,"118.254256,24.650166"
6790,118.254256,24.650166,"118.254256,24.650166"
6791,118.254256,24.650166,"118.254256,24.650166"
6792,118.254256,24.650166,"118.254256,24.650166"
6793,118.254256,24.650166,"118.254256,24.650166"
6827,118.118791,24.69453,"118.118791,24.694530"
6830,118.204426,24.7758,"118.204426,24.775800"
6850,118.192553,24.481526,"118.192553,24.481526"
6933,118.128211,24.492324,"118.128211,24.492324"
6934,118.128211,24.492324,"118.128211,24.492324"
6645,118.089434,24.448772,"118.089434,24.448772"
6646,118.089434,24.448772,"118.089434,24.448772"
6849,118.192553,24.481526,"118.192553,24.481526"
7010,118.080198,24.449375,"118.080198,24.449375"
7011,118.080198,24.449375,"118.080198,24.449375"
6717,118.137996,24.478018,"118.137996,24.478018"
6718,118.137996,24.478018,"118.137996,24.478018"
6720,118.142342,24.47716,"118.142342,24.477160"
6721,118.142342,24.47716,"118.142342,24.477160"
6765,118.254256,24.650166,"118.254256,24.650166"
6766,118.254256,24.650166,"118.254256,24.650166"
