运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
38597,线路3,118.11091,24.469531,"118.110910,24.469531"
61693,线路8,118.105697,24.594084,"118.105697,24.594084"
62213,线路5,118.14881,24.493367,"118.148810,24.493367"
35833,线路3,118.110015,24.468964,"118.110015,24.468964"
36773,线路3,118.105915,24.467443,"118.105915,24.467443"
35190,线路3,118.11523,24.47558,"118.115230,24.475580"
34751,线路11,118.042085,24.564369,"118.042085,24.564369"
35414,线路5,118.143014,24.481641,"118.143014,24.481641"
45393,线路12,118.039439,24.497422,"118.039439,24.497422"
126578,线路6,118.14843,24.52896,"118.148430,24.528960"
125960,线路12,117.99925,24.524136,"117.999250,24.524136"
133339,线路4,118.175161,24.483044,"118.175161,24.483044"
236389,线路9,118.246059,24.659029,"118.246059,24.659029"
234674,线路6,118.150087,24.511449,"118.150087,24.511449"
262397,线路6,118.151947,24.503484,"118.151947,24.503484"
343251,线路5,118.139419,24.482305,"118.139419,24.482305"
326177,线路10,118.144797,24.708488,"118.144797,24.708488"
389602,线路4,118.192102,24.497802,"118.192102,24.497802"
396059,线路2,118.097381,24.47093,"118.097381,24.470930"
392556,线路9,118.2483,24.65961,"118.248300,24.659610"
396342,线路4,118.176405,24.50201,"118.176405,24.502010"
393196,线路9,118.2483,24.65961,"118.248300,24.659610"
386773,线路7,118.097328,24.513571,"118.097328,24.513571"
390438,线路10,118.148003,24.720485,"118.148003,24.720485"
393356,线路8,118.146044,24.666334,"118.146044,24.666334"
396816,线路1,118.086004,24.455354,"118.086004,24.455354"
392602,线路7,118.111138,24.528157,"118.111138,24.528157"
395799,线路11,118.040836,24.569057,"118.040836,24.569057"
395078,线路4,118.16163,24.51162,"118.161630,24.511620"
395836,,118.007546,24.598598,"118.007546,24.598598"
910268,线路4,118.17111,24.506335,"118.171110,24.506335"
910293,线路4,118.17111,24.506335,"118.171110,24.506335"
407482,线路10,118.111284,24.688812,"118.111284,24.688812"
558641,线路8,118.046999,24.611979,"118.046999,24.611979"
712150,线路12,117.990373,24.462742,"117.990373,24.462742"
947625,线路4,118.183265,24.483627,"118.183265,24.483627"
619792,线路4,118.149509,24.509501,"118.149509,24.509501"
978080,线路4,118.17153,24.506287,"118.171530,24.506287"
611937,线路6,118.140889,24.500645,"118.140889,24.500645"
769546,线路6,118.135943,24.507037,"118.135943,24.507037"
487621,线路12,118.055063,24.493879,"118.055063,24.493879"
694280,,118.149509,24.509501,"118.149509,24.509501"
694281,,118.149509,24.509501,"118.149509,24.509501"
694282,,118.149509,24.509501,"118.149509,24.509501"
671497,线路5,118.143139,24.48155,"118.143139,24.481550"
832149,线路4,118.191145,24.474053,"118.191145,24.474053"
885734,线路4,118.162006,24.528954,"118.162006,24.528954"
841530,线路2,118.081266,24.459993,"118.081266,24.459993"
399669,线路21,118.16163,24.51162,"118.161630,24.511620"
449950,线路12,118.055063,24.493879,"118.055063,24.493879"
1058845,线路8,118.103757,24.584482,"118.103757,24.584482"
995200,线路2,118.101168,24.468779,"118.101168,24.468779"
1045231,线路12,118.010242,24.534007,"118.010242,24.534007"
1076115,线路2,118.096288,24.464565,"118.096288,24.464565"
1169561,线路11,118.00219,24.612924,"118.002190,24.612924"
1058864,线路8,118.103757,24.584482,"118.103757,24.584482"
1058865,线路8,118.103757,24.584482,"118.103757,24.584482"
1179167,线路9,118.265977,24.587977,"118.265977,24.587977"
1041347,线路4,118.17153,24.506287,"118.171530,24.506287"
1515097,线路1,118.087966,24.45285,"118.087966,24.452850"
1669367,线路8,118.103757,24.584482,"118.103757,24.584482"
1284401,线路11,118.048092,24.56139,"118.048092,24.561390"
1384646,线路4,118.190751,24.503138,"118.190751,24.503138"
1384647,线路4,118.190751,24.503138,"118.190751,24.503138"
1732132,线路21,118.102857,24.58413,"118.102857,24.584130"
1486931,线路4,118.172321,24.508707,"118.172321,24.508707"
1703458,线路7,118.115613,24.506814,"118.115613,24.506814"
1562831,线路5,118.133731,24.499214,"118.133731,24.499214"
1593579,线路10,118.150625,24.719707,"118.150625,24.719707"
1513777,线路12,118.018667,24.531789,"118.018667,24.531789"
1417295,线路8,118.102857,24.58413,"118.102857,24.584130"
1523450,线路12,118.034896,24.492155,"118.034896,24.492155"
1416830,线路10,118.150291,24.736077,"118.150291,24.736077"
1416830,线路10,118.149494,24.7475,"118.149494,24.747500"
1686982,线路9,118.265977,24.587977,"118.265977,24.587977"
2088366,线路8,118.103757,24.584482,"118.103757,24.584482"
1869627,线路12,118.028783,24.472136,"118.028783,24.472136"
2073475,线路6,118.152945,24.50236,"118.152945,24.502360"
2205611,线路12,118.029549,24.530105,"118.029549,24.530105"
1835241,线路2,118.081625,24.490066,"118.081625,24.490066"
1782995,线路2,118.07644,24.463324,"118.076440,24.463324"
1853735,线路2,118.093636,24.467489,"118.093636,24.467489"
1853736,线路5,118.146312,24.497199,"118.146312,24.497199"
1883253,线路4,118.182659,24.475543,"118.182659,24.475543"
1764104,线路5,118.130594,24.490459,"118.130594,24.490459"
2206826,线路12,118.009967,24.529596,"118.009967,24.529596"
2208428,线路9,118.265977,24.587977,"118.265977,24.587977"
2208671,线路9,118.214061,24.6283,"118.214061,24.628300"
2208832,线路11,118.024016,24.585448,"118.024016,24.585448"
2208785,线路8,118.103757,24.584482,"118.103757,24.584482"
2136393,线路7,118.110804,24.532742,"118.110804,24.532742"
2225306,线路3,118.121522,24.468441,"118.121522,24.468441"
2208402,线路1,118.122069,24.436259,"118.122069,24.436259"
2208566,线路3,118.146769,24.512905,"118.146769,24.512905"
2049853,线路4,118.171506,24.505595,"118.171506,24.505595"
2216008,线路21,118.009967,24.529596,"118.009967,24.529596"
2088289,线路8,118.103757,24.584482,"118.103757,24.584482"
2017594,线路4,118.17111,24.506335,"118.171110,24.506335"
2071110,线路12,118.000596,24.520382,"118.000596,24.520382"
2229554,线路4,118.149509,24.509501,"118.149509,24.509501"
2229555,线路4,118.149509,24.509501,"118.149509,24.509501"
2227211,线路4,118.190751,24.503138,"118.190751,24.503138"
2230116,线路3,118.122938,24.48848,"118.122938,24.488480"
2229476,线路4,118.17111,24.506335,"118.171110,24.506335"
2229477,线路4,118.17111,24.506335,"118.171110,24.506335"
2229663,线路1,118.08354,24.454711,"118.083540,24.454711"
2226464,线路4,118.159552,24.514786,"118.159552,24.514786"
2228497,线路3,118.111801,24.474981,"118.111801,24.474981"
2226880,线路4,118.159552,24.514786,"118.159552,24.514786"
2232248,线路3,118.116858,24.476086,"118.116858,24.476086"
2227934,线路4,118.179501,24.502857,"118.179501,24.502857"
2229298,线路12,118.04895,24.48555,"118.048950,24.485550"
2226462,线路8,118.103757,24.584482,"118.103757,24.584482"
